Wall time,Step,Value
1621835263,10167,452900736
1621835263,10229,437318976
1621835264,10474,329875072
1621835264,10536,371953600
1621835265,10586,665839296
1621835265,10647,298873792
1621835267,11385,317973824
1621835267,11436,363019072
1621835268,11737,286238688
1621835268,11877,396217408
1621835269,12307,465579744
1621835269,12389,256637904
1621835270,12486,362239456
1621835271,13246,123218000
1621835272,13305,198142592
1621835275,14492,132211672
1621835276,14971,192162144
1621835277,15134,176914384
1621835277,15345,130157648
1621835278,15723,186649808
1621835278,15907,160264592
1621835279,15990,439023232
1621835279,16200,90459160
1621835281,16699,134351440
1621835281,16711,253814528
1621835281,16854,136542656
1621835281,16966,257098304
1621835282,17155,128521728
1621835282,17463,239230304
1621835283,17798,151124864
1621835283,17833,240719504
1621835284,18066,128563720
1621835284,18180,219261600
1621835284,18221,187086320
1621835285,18498,238979376
1621835286,18935,81540376
1621835287,19260,98818384
1621835288,19468,107744008
1621835290,20399,100295816
1621835290,20479,95113008
1621835291,20906,102292520
1621835292,20967,54258704
1621835292,21021,165954944
1621835293,21533,69716632
1621835293,21567,73618968
1621835294,21970,153700848
1621835296,22878,65238084
1621835297,23035,106355872
1621835300,24295,48233312
1621835301,24669,43855752
1621835301,24780,67106880
1621835302,24874,66806976
1621835303,25474,50491908
1621835305,26117,24161316
1621835307,26858,19244752
1621835307,27098,29578590
1621835308,27318,15544449
1621835309,27544,22896096
1621835314,29532,21129416
1621835314,29641,36999504
1621835314,29732,26289478
1621835315,30063,14599416
1621835315,30245,26357324
1621835316,30324,16961038
1621835316,30540,13009360
1621835316,30579,21852198
1621835317,30783,20536192
1621835317,30856,29690344
1621835318,31081,17363310
1621835318,31145,12518160
1621835318,31320,21529040
1621835321,32331,24702196
1621835321,32359,22527342
1621835323,33287,14640634
1621835323,33362,14099610
1621835324,33428,14432567
1621835324,33671,14588541
1621835324,33702,27016686
1621835325,34148,14464712
1621835326,34283,13201390
1621835326,34323,7577298.5
1621835327,34728,12527912
1621835327,34935,9620652
1621835328,35254,8691784
1621835330,35813,15416647
1621835330,35848,6082885.5
1621835332,36798,12127763
1621835334,37604,8378222
1621835338,38971,10993240
1621835338,38997,4825927.5
1621835338,39063,5509515.5
1621835339,39264,8311401
1621835340,39830,8714733
1621835341,40006,6790953.5
1621835341,40032,4449808
1621835341,40175,11820666
1621835342,40471,3299317.75
1621835342,40613,10305067
1621835342,40707,10044666
1621835342,40721,7250719
1621835344,41407,6416801
1621835344,41445,5980108
1621835346,41938,7104018.5
1621835347,42437,4454664
1621835347,42659,6818758
1621835348,42896,9410999
1621835348,42904,5126187
1621835348,43036,5170159
1621835349,43183,4936630
1621835349,43377,3872998
1621835349,43405,3906574.25
1621835350,43739,6940106.5
1621835350,43751,7518991
1621835350,43787,4663501
1621835351,43841,3530482.75
1621835351,43878,4826857
1621835351,43915,5598611
1621835351,44038,2920070.5
1621835352,44364,2163457.5
1621835352,44527,2747431
1621835352,44601,3495867
1621835355,45485,1893943.75
1621835356,45955,2624939.25
1621835356,46039,4043217
1621835358,46631,1798704.25
1621835358,46661,2293153.5
1621835358,46852,2674801.5
1621835359,47204,1726022.125
1621835360,47491,2984836
1621835361,47766,2933029.25
1621835361,47878,4887882
1621835363,48722,5404544
1621835363,48842,2638521.5
1621835365,49298,3592646
1621835366,49704,2197019.5
1621835368,50502,1071216.625
1621835368,50722,2254972
1621835369,50795,1808887.125
1621835369,51042,2950387
1621835370,51273,1270606.25
1621835372,52136,951705.875
1621835373,52470,950982.875
1621835376,53641,1435278.125
1621835376,53713,834323.5
1621835376,53807,1448591.25
1621835377,53995,1622716.5
